,Experiment,Date,Pre Post,Farm,Paddock,Strip,Weight in kg,Length in meters,Width (m),Area (m²),Plot,PT Height (mm),Wet bag wt. (g),WW + bag (g),Sub Wet Wt (g),Dry bag wt. (g),DW + bag (g),Sub Dry Wt (g),Dry Matter,Biomass (kg/ha),Residual Dry Wt (kg/ha),Total Biomass (kg/ha)
49,testbec,10/2/2024 17:57,Pre,28,1,9,3.3,5.34,0.8128,4.340351999999999,28.1,190.05712,21,402,381,20,139.6,119.6,0.3139107611548556,2386.6854849814567,950,3336.6854849814567
50,testbec,10/2/2024 17:58,Pre,28,1,10,3.5,5.71,0.8128,4.641088,28.1,150.5013524528302,21,426,405,20,156.93,136.93,0.33809876543209877,2549.7160989241006,950,3499.7160989241006
51,testbec,10/2/2024 18:00,Pre,28,2,1,2.27,5.19,0.8128,4.218432,28.2,179.38008,21,402,381,20,146.37,126.37,0.33167979002624676,1784.8174946510462,950,2734.817494651046
52,testbec,10/2/2024 18:01,Pre,28,2,2,2.13,5.38,0.8128,4.372864,28.2,177.5233982089552,21,455,434,20,157.54,137.54,0.31691244239631333,1543.66452353457,950,2493.66452353457
53,testbec,10/2/2024 18:03,Pre,28,2,3,2.83,5.6,0.8128,4.551679999999999,28.2,180.73787707317072,21,434,413,20,130.31,110.31,0.2670944309927361,1660.6554935967451,950,2610.655493596745
54,testbec,10/2/2024 18:04,Pre,28,2,4,1.95,5.41,0.8128,4.397248,28.2,172.5922247191011,21,489,468,20,132.08,112.08,0.23948717948717949,1062.0278865326675,950,2012.0278865326675
55,testbec,10/2/2024 18:05,Pre,28,2,5,3.23,5.56,0.8128,4.519168,28.2,214.3154332530121,21,493,472,20,148.39,128.39,0.27201271186440673,1944.165517462581,950,2894.165517462581
56,testbec,10/2/2024 18:06,Pre,28,2,6,2.26,5.27,0.8128,4.283455999999999,28.2,204.03968640000005,21,438,417,20,147.6,127.6,0.30599520383693046,1614.4654238807705,950,2564.4654238807707
57,testbec,10/2/2024 18:08,Pre,28,2,7,1.39,4.89,0.8128,3.9745919999999995,28.2,118.42919578947368,21,316,295,20,112.68,92.68,0.3141694915254237,1098.7180400411892,950,2048.718040041189
58,testbec,10/2/2024 18:09,Pre,28,2,8,2.78,5.12,0.8128,4.161536,28.2,192.6645934177215,21,355,334,20,127.27,107.27,0.32116766467065866,2145.472507709728,950,3095.472507709728
59,testbec,10/2/2024 18:10,Pre,28,2,9,2.8,5.86,0.8128,4.763008,28.2,255.72624000000008,21,394,373,20,114.72,94.72,0.253941018766756,1492.8273321122215,950,2442.8273321122215
60,testbec,10/2/2024 18:11,Pre,28,2,10,1.89,5.45,0.8128,4.42976,28.2,161.92316799999998,21,375,354,20,120.53,100.53,0.2839830508474576,1211.6411862080447,950,2161.641186208045
61,testbec,10/2/2024 18:13,Pre,28,3,1,2.48,5.11,0.8128,4.153408,28.3,185.0732202985075,21,461,440,20,183.31,163.31,0.37115909090909094,2216.191006167816,950,3166.191006167816
62,testbec,10/2/2024 18:14,Pre,28,3,2,2.83,6.12,0.8128,4.974336,28.3,200.42570810810813,21,418,397,20,139.61,119.61,0.30128463476070527,1714.0690061403088,950,2664.069006140309
63,testbec,10/2/2024 18:15,Pre,28,3,3,4.24,5.26,0.8128,4.275328,28.3,265.0544411428571,21,456,435,20,130.08,110.08,0.25305747126436784,2509.664002764045,950,3459.664002764045
64,testbec,10/2/2024 18:17,Pre,28,3,4,2.87,5.15,0.8128,4.18592,28.3,151.61994434782605,21,507,486,20,186.49,166.49,0.34257201646090535,2348.782793848899,950,3298.782793848899
65,testbec,10/2/2024 18:18,Pre,28,3,5,2.8,5.45,0.8128,4.42976,28.3,165.60902518518515,21,474,453,20,179.01,159.01,0.3510154525386313,2218.728028399208,950,3168.728028399208
66,testbec,10/2/2024 18:19,Pre,28,3,6,3.33,5.34,0.8128,4.340351999999999,28.3,202.7476,21,404,383,20,129.54,109.54,0.2860052219321149,2194.2860602871447,950,3144.2860602871447
67,testbec,10/2/2024 18:21,Pre,28,3,7,2.55,5.23,0.8128,4.2509440000000005,28.3,199.87608767123285,21,447,426,20,123.34,103.34,0.24258215962441315,1455.1697388680102,950,2405.1697388680104
68,testbec,10/2/2024 18:22,Pre,28,3,8,2.66,5.52,0.8128,4.486655999999999,28.3,199.92211555555556,21,451,430,20,139.34,119.34,0.2775348837209302,1645.4187499502405,950,2595.4187499502405
69,testbec,10/2/2024 18:24,Pre,28,3,9,2.73,5.52,0.8128,4.486655999999999,28.3,211.1208,21,467,446,20,141.07,121.07,0.271457399103139,1651.7395127943164,950,2601.7395127943164
70,testbec,10/2/2024 18:25,Pre,28,3,10,2.41,5.26,0.8128,4.275328,28.3,196.56208,21,406,385,20,128.6,108.6,0.28207792207792204,1590.0716675019837,950,2540.071667501984
71,testbec,10/2/2024 18:26,Pre,28,4,1,3.11,5.08,0.8128,4.129024,28.4,238.073792,21,418,397,20,130.47,110.47,0.27826196473551634,2095.8820058383185,950,3045.8820058383185
72,testbec,10/2/2024 18:27,Pre,28,4,2,4.27,5.6,0.8128,4.551679999999999,28.4,261.7647378823529,21,524,503,20,143.2,123.2,0.24493041749502983,2297.7293718006918,950,3247.7293718006918
73,testbec,10/2/2024 18:29,Pre,28,4,3,2.48,4.89,0.8128,3.9745919999999995,28.4,171.9106303296703,21,498,477,20,149.51,129.51,0.2715094339622641,1694.1195378705918,950,2644.1195378705916
74,testbec,10/2/2024 18:30,Pre,28,4,4,5.44,5.41,0.8128,4.397248,28.4,164.87329892473122,21,658,637,20,371.6,351.6,0.5519623233908949,6828.53238945465,950,7778.53238945465
75,testbec,10/2/2024 18:31,Pre,28,4,5,3.08,5.41,0.8128,4.397248,28.4,224.3426610526316,21,498,477,20,141.84,121.84,0.25542976939203355,1789.1274036112206,950,2739.127403611221
76,testbec,10/2/2024 18:32,Pre,28,4,6,2.59,5.75,0.8128,4.6735999999999995,28.4,184.85154285714287,21,520,499,20,154.08,134.08,0.26869739478957916,1489.0582260035303,950,2439.0582260035303
77,testbec,10/2/2024 18:34,Pre,28,4,7,3.13,5.52,0.8128,4.486655999999999,28.4,202.84578285714284,21,549,528,20,231.19,211.19,0.3999810606060606,2790.364850117704,950,3740.364850117704
78,testbec,10/2/2024 18:35,Pre,28,4,8,3.67,5.52,0.8128,4.486655999999999,28.4,237.61560533333332,21,477,456,20,145.96,125.96,0.2762280701754386,2259.493523782211,950,3209.493523782211
79,testbec,10/2/2024 18:36,Pre,28,4,9,2.48,5.6,0.8128,4.551679999999999,28.4,164.82938057142854,21,521,500,20,146.45,126.45,0.2529,1377.9351799775034,950,2327.935179977503
80,testbec,10/2/2024 18:37,Pre,28,4,10,1.97,5.56,0.8128,4.519168,28.4,174.844032,21,445,424,20,148.01,128.01,0.3019103773584905,1316.090579939109,950,2266.090579939109
