%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
3/11/2025,7:42:49 PM,38.90558056,-92.26833336,222.8582,2,12,0.1186,0.0949,0.2954,-0.036,0.0493,0.1217,0.2,2.7
3/11/2025,7:42:49 PM,38.90558054,-92.26833337,222.8489,2,12,0.1172,0.0938,0.2918,-0.0356,0.0487,0.1201,0.4,2.8
3/11/2025,7:42:50 PM,38.90558052,-92.26833339,222.8394,2,12,0.1158,0.0927,0.2882,-0.0352,0.0482,0.1186,0.6,2.8
3/11/2025,7:42:50 PM,38.90558054,-92.26833342,222.8365,2,12,0.1144,0.0916,0.2848,-0.0348,0.0477,0.1171,0.8,2.8
3/11/2025,7:42:50 PM,38.90558052,-92.26833348,222.8337,2,12,0.1131,0.0906,0.2815,-0.0344,0.0471,0.1157,0,2.8
3/11/2025,7:42:50 PM,38.9055805,-92.2683335,222.817,2,12,0.1118,0.0896,0.2783,-0.034,0.0466,0.1143,0.2,2.9
3/11/2025,7:42:50 PM,38.90558046,-92.2683335,222.8012,2,12,0.1105,0.0887,0.2752,-0.0336,0.0462,0.1129,0.4,2.9
3/11/2025,7:42:51 PM,38.90558045,-92.26833352,222.7936,2,12,0.1093,0.0877,0.2722,-0.0333,0.0457,0.1116,0.6,3
3/11/2025,7:42:51 PM,38.9055804,-92.26833355,222.784,2,12,0.1082,0.0868,0.2693,-0.0329,0.0453,0.1104,0.8,3
3/11/2025,7:42:51 PM,38.90558041,-92.26833358,222.7918,2,12,0.107,0.086,0.2665,-0.0326,0.0448,0.1091,0,3
3/11/2025,7:42:51 PM,38.90557835,-92.2683396,221.4386,1,12,0.0047,0.0042,0.011,-0.0018,0.0011,0.0034,0.2,3
3/11/2025,7:42:51 PM,38.90557834,-92.26833999,221.4452,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,3
3/11/2025,7:42:52 PM,38.90558051,-92.26833464,222.8086,2,12,0.1038,0.0835,0.2584,-0.0316,0.0435,0.1056,0.6,3
3/11/2025,7:42:52 PM,38.90558059,-92.26833542,222.8106,2,12,0.1028,0.0827,0.2559,-0.0313,0.0431,0.1044,0.8,3
3/11/2025,7:42:52 PM,38.90557845,-92.26834217,221.4794,1,12,0.0047,0.0042,0.011,-0.0018,0.0011,0.0034,0,3
3/11/2025,7:42:52 PM,38.90557842,-92.26834328,221.4875,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,3
3/11/2025,7:42:52 PM,38.90557827,-92.26834518,221.4672,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,3.1
3/11/2025,7:42:53 PM,38.90557834,-92.26834669,221.4659,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,3.1
3/11/2025,7:42:53 PM,38.90557832,-92.26834846,221.4627,1,12,0.0048,0.0043,0.0112,-0.0018,0.0011,0.0034,0.8,3.1
3/11/2025,7:42:53 PM,38.90557822,-92.26835051,221.4528,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,3.1
3/11/2025,7:42:53 PM,38.90557812,-92.26835248,221.4503,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,3.1
3/11/2025,7:42:53 PM,38.90557801,-92.26835489,221.4162,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,3.1
3/11/2025,7:42:54 PM,38.90557831,-92.26835715,221.3976,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,3.1
3/11/2025,7:42:54 PM,38.90557847,-92.26835886,221.3935,1,12,0.0048,0.0043,0.0112,-0.0018,0.0011,0.0034,0.8,3.1
3/11/2025,7:42:54 PM,38.90557841,-92.26836093,221.3954,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,3.2
3/11/2025,7:42:54 PM,38.9055787,-92.26836307,221.3946,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,3.2
3/11/2025,7:42:54 PM,38.9055783,-92.26836491,221.3902,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,3.2
3/11/2025,7:42:55 PM,38.90557804,-92.26836703,221.3624,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,3.3
3/11/2025,7:42:55 PM,38.90557821,-92.26836881,221.3776,1,11,0.0049,0.0043,0.0114,-0.0016,0.0002,0.0031,0.8,3.3
3/11/2025,7:42:55 PM,38.90557834,-92.26837064,221.3793,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,3.3
3/11/2025,7:42:55 PM,38.9055781,-92.26837223,221.3721,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,3.3
3/11/2025,7:42:55 PM,38.90557803,-92.26837338,221.3776,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,3.4
3/11/2025,7:42:56 PM,38.90557834,-92.26837467,221.3742,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,3.4
3/11/2025,7:42:56 PM,38.90557817,-92.26837593,221.3648,1,12,0.0048,0.0043,0.0112,-0.0018,0.0011,0.0034,0.8,3.4
3/11/2025,7:42:56 PM,38.90557782,-92.26837704,221.3651,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,3.5
3/11/2025,7:42:56 PM,38.90557809,-92.26837842,221.3706,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,3.5
3/11/2025,7:42:56 PM,38.90557815,-92.26837997,221.3814,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,3.6
3/11/2025,7:42:57 PM,38.90557792,-92.2683816,221.3808,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,3.6
3/11/2025,7:42:57 PM,38.9055777,-92.2683835,221.3707,1,12,0.0048,0.0043,0.0112,-0.0018,0.0011,0.0034,0.8,3.7
3/11/2025,7:42:57 PM,38.90557744,-92.26838568,221.3624,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,3.7
3/11/2025,7:42:57 PM,38.90557736,-92.26838753,221.3572,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,3.7
3/11/2025,7:42:57 PM,38.90557748,-92.26838937,221.363,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,3.8
3/11/2025,7:42:58 PM,38.90557727,-92.26839153,221.3663,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,3.8
3/11/2025,7:42:58 PM,38.9055768,-92.26839374,221.355,1,12,0.0048,0.0043,0.0112,-0.0018,0.0011,0.0034,0.8,3.8
3/11/2025,7:42:58 PM,38.90557701,-92.26839563,221.3591,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,3.9
3/11/2025,7:42:58 PM,38.90557713,-92.26839772,221.3537,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,3.9
3/11/2025,7:42:58 PM,38.90557707,-92.26839974,221.353,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,3.9
3/11/2025,7:42:59 PM,38.90557677,-92.26840168,221.356,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,3.9
3/11/2025,7:42:59 PM,38.90557673,-92.26840356,221.3507,1,12,0.0048,0.0043,0.0112,-0.0018,0.0011,0.0034,0.8,3.9
3/11/2025,7:42:59 PM,38.90557707,-92.26840529,221.3584,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,3.9
3/11/2025,7:42:59 PM,38.90557667,-92.26840699,221.3703,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,3.9
3/11/2025,7:42:59 PM,38.90557625,-92.26840892,221.356,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,3.9
3/11/2025,7:43:00 PM,38.90557665,-92.2684108,221.3555,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,4
3/11/2025,7:43:00 PM,38.90557672,-92.26841285,221.3492,1,12,0.0048,0.0043,0.0112,-0.0018,0.0011,0.0034,0.8,4
3/11/2025,7:43:00 PM,38.90557671,-92.2684146,221.349,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,4.1
3/11/2025,7:43:00 PM,38.90557658,-92.26841608,221.3606,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,4.1
3/11/2025,7:43:00 PM,38.90557671,-92.2684178,221.3507,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,4.1
3/11/2025,7:43:01 PM,38.90557679,-92.26841905,221.3597,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,4.2
3/11/2025,7:43:01 PM,38.90557651,-92.26842008,221.3599,1,12,0.0048,0.0043,0.0112,-0.0018,0.0011,0.0034,0.8,4.2
3/11/2025,7:43:01 PM,38.90557596,-92.26842137,221.3624,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,4.2
3/11/2025,7:43:01 PM,38.90557593,-92.26842316,221.3569,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.2,4.2
3/11/2025,7:43:01 PM,38.90557611,-92.26842471,221.3549,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.4,4.2
3/11/2025,7:43:02 PM,38.90557573,-92.26842626,221.3593,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0.6,4.3
3/11/2025,7:43:02 PM,38.9055758,-92.26842802,221.3601,1,12,0.0048,0.0043,0.0112,-0.0018,0.0011,0.0034,0.8,4.2
3/11/2025,7:43:02 PM,38.90557586,-92.26842956,221.352,1,12,0.0047,0.0042,0.0111,-0.0018,0.0011,0.0034,0,4.2
3/11/2025,7:43:02 PM,38.9055758,-92.268431,221.3541,1,12,0.0048,0.0043,0.0113,-0.0016,0.0004,0.003,0.2,4.2
3/11/2025,7:43:02 PM,38.90557578,-92.26843251,221.357,1,12,0.0049,0.0043,0.0113,-0.0016,0.0004,0.003,0.4,4.2
3/11/2025,7:43:03 PM,38.90557568,-92.26843389,221.352,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0.6,4.2
3/11/2025,7:43:03 PM,38.90557529,-92.26843535,221.3461,1,12,0.0051,0.0043,0.0117,-0.0013,-0.0012,0.0024,0.8,4.2
3/11/2025,7:43:03 PM,38.90557516,-92.2684371,221.3552,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0,4.2
3/11/2025,7:43:03 PM,38.90557536,-92.26843873,221.363,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0.2,4.2
3/11/2025,7:43:03 PM,38.90557513,-92.26844038,221.35,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0.4,4.2
3/11/2025,7:43:04 PM,38.90557472,-92.26844205,221.3503,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0.6,4.2
3/11/2025,7:43:04 PM,38.90557484,-92.2684437,221.3569,1,12,0.0051,0.0043,0.0117,-0.0013,-0.0012,0.0024,0.8,4.2
3/11/2025,7:43:04 PM,38.90557498,-92.26844526,221.3628,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0,4.2
3/11/2025,7:43:04 PM,38.90557487,-92.26844707,221.3591,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0.2,4.2
3/11/2025,7:43:04 PM,38.90557484,-92.26844877,221.3561,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0.4,4.2
3/11/2025,7:43:05 PM,38.90557496,-92.26845064,221.3492,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0.6,4.1
3/11/2025,7:43:05 PM,38.90557444,-92.26845242,221.3499,1,12,0.0051,0.0043,0.0117,-0.0013,-0.0012,0.0024,0.8,4.1
3/11/2025,7:43:05 PM,38.90557427,-92.26845462,221.3427,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0,4.1
3/11/2025,7:43:05 PM,38.90557452,-92.26845707,221.3224,1,12,0.005,0.0043,0.0116,-0.0013,-0.0012,0.0024,0.2,4.1
3/11/2025,7:43:05 PM,38.90557444,-92.26845905,221.318,1,12,0.005,0.0043,0.0114,-0.0013,-0.0014,0.0023,0.4,4.1
3/11/2025,7:43:06 PM,38.90557447,-92.26846096,221.3247,1,12,0.005,0.0043,0.0113,-0.0014,-0.0016,0.0022,0.6,4.1
3/11/2025,7:43:06 PM,38.90557441,-92.26846317,221.3187,1,12,0.0051,0.0043,0.0113,-0.0014,-0.0016,0.0022,0.8,4.1
3/11/2025,7:43:06 PM,38.90557457,-92.26846534,221.3206,1,12,0.005,0.0043,0.0112,-0.0014,-0.0016,0.0021,0,4.1
3/11/2025,7:43:06 PM,38.90557435,-92.26846724,221.3224,1,12,0.005,0.0043,0.0111,-0.0014,-0.0016,0.0021,0.2,4.1
3/11/2025,7:43:06 PM,38.90557419,-92.26846944,221.3176,1,12,0.005,0.0043,0.0112,-0.0014,-0.0017,0.0021,0.4,4.1
3/11/2025,7:43:07 PM,38.90557455,-92.26847194,221.3059,1,12,0.005,0.0043,0.0112,-0.0014,-0.0017,0.0021,0.6,4.1
3/11/2025,7:43:07 PM,38.90557445,-92.26847428,221.2967,1,12,0.0051,0.0043,0.0112,-0.0014,-0.0017,0.0021,0.8,4.2
3/11/2025,7:43:07 PM,38.90557425,-92.26847647,221.292,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0,4.2
3/11/2025,7:43:07 PM,38.90557443,-92.26847865,221.3062,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.2,4.2
3/11/2025,7:43:07 PM,38.90557424,-92.26848096,221.3053,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.4,4.2
3/11/2025,7:43:08 PM,38.90557357,-92.26848303,221.304,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.6,4.2
3/11/2025,7:43:08 PM,38.90557303,-92.26848508,221.2892,1,12,0.0051,0.0043,0.0112,-0.0014,-0.0017,0.0021,0.8,4.2
3/11/2025,7:43:08 PM,38.90557277,-92.26848708,221.2894,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0,4.2
3/11/2025,7:43:08 PM,38.90557269,-92.26848902,221.283,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.2,4.2
3/11/2025,7:43:08 PM,38.90557268,-92.26849112,221.2527,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.4,4.2
3/11/2025,7:43:09 PM,38.90557258,-92.26849263,221.2585,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.6,4.2
3/11/2025,7:43:09 PM,38.90557266,-92.26849418,221.2586,1,12,0.005,0.0043,0.0112,-0.0014,-0.0017,0.0021,0.8,4.2
3/11/2025,7:43:09 PM,38.90557276,-92.2684959,221.2465,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0,4.2
3/11/2025,7:43:09 PM,38.9055728,-92.26849777,221.245,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.2,4.2
3/11/2025,7:43:09 PM,38.90557278,-92.26849961,221.2507,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.4,4.2
3/11/2025,7:43:10 PM,38.90557249,-92.2685019,221.2401,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.6,4.2
3/11/2025,7:43:10 PM,38.90557206,-92.26850422,221.2454,1,12,0.005,0.0043,0.0112,-0.0014,-0.0017,0.0021,0.8,4.2
3/11/2025,7:43:10 PM,38.90557246,-92.26850689,221.2384,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0,4.2
3/11/2025,7:43:10 PM,38.9055724,-92.26850951,221.2245,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.2,4.2
3/11/2025,7:43:10 PM,38.90557229,-92.26851192,221.2376,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.4,4.2
3/11/2025,7:43:11 PM,38.90557192,-92.26851458,221.2407,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.6,4.2
3/11/2025,7:43:11 PM,38.90557167,-92.26851715,221.2395,1,12,0.005,0.0043,0.0112,-0.0014,-0.0017,0.0021,0.8,4.2
3/11/2025,7:43:11 PM,38.90557151,-92.26851955,221.2501,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0,4.2
3/11/2025,7:43:11 PM,38.90557129,-92.268522,221.2425,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.2,4.2
3/11/2025,7:43:11 PM,38.90557113,-92.2685246,221.2338,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.4,4.2
3/11/2025,7:43:12 PM,38.90557089,-92.26852685,221.2413,1,12,0.005,0.0043,0.0111,-0.0014,-0.0017,0.0021,0.6,4.2
3/11/2025,7:43:12 PM,38.90557063,-92.26852917,221.2455,1,12,0.005,0.0043,0.0112,-0.0014,-0.0017,0.0021,0.8,4.2
3/11/2025,7:43:12 PM,38.90557054,-92.26853129,221.2473,1,12,0.0049,0.0042,0.0109,-0.0016,-0.0014,0.0025,0,5
3/11/2025,7:43:12 PM,38.90557037,-92.26853332,221.2401,1,12,0.0048,0.0042,0.0107,-0.0017,-0.0013,0.0027,0.2,5.6
3/11/2025,7:43:12 PM,38.90557025,-92.26853521,221.2385,1,12,0.0047,0.0042,0.0106,-0.0018,-0.0014,0.0027,0.4,6.2
3/11/2025,7:43:13 PM,38.90557007,-92.2685373,221.2267,1,12,0.0047,0.0042,0.0105,-0.0018,-0.0014,0.0027,0.6,6.8
3/11/2025,7:43:13 PM,38.90556961,-92.26853935,221.2042,1,12,0.0047,0.0042,0.0105,-0.0019,-0.0014,0.0027,0.8,7.5
3/11/2025,7:43:13 PM,38.90556956,-92.26854138,221.2013,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0008,0.0029,0,8.1
3/11/2025,7:43:13 PM,38.90556951,-92.26854347,221.1937,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0008,0.003,0.2,8.9
3/11/2025,7:43:13 PM,38.90556936,-92.26854532,221.1898,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0008,0.003,0.4,9.6
3/11/2025,7:43:14 PM,38.90556952,-92.2685471,221.1937,1,11,0.0049,0.0043,0.0108,-0.0016,-0.0012,0.0027,0.6,10.3
3/11/2025,7:43:14 PM,38.90556955,-92.26854899,221.1922,1,11,0.0049,0.0043,0.0109,-0.0016,-0.0012,0.0027,0.8,11.1
3/11/2025,7:43:14 PM,38.90556942,-92.26855072,221.1936,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0007,0.003,0,11.9
3/11/2025,7:43:14 PM,38.90556922,-92.26855261,221.1877,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0007,0.003,0.2,12.6
3/11/2025,7:43:14 PM,38.90556904,-92.26855485,221.1813,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0007,0.003,0.4,13.5
3/11/2025,7:43:15 PM,38.90556912,-92.26855691,221.1851,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0007,0.003,0.6,14.3
3/11/2025,7:43:15 PM,38.90556895,-92.26855902,221.1854,1,12,0.0047,0.0042,0.0107,-0.0019,-0.0007,0.0031,0.8,15.2
3/11/2025,7:43:15 PM,38.90556883,-92.2685611,221.1817,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0007,0.003,0,16.1
3/11/2025,7:43:15 PM,38.90556883,-92.26856333,221.177,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0006,0.003,0.2,17
3/11/2025,7:43:15 PM,38.90556878,-92.26856531,221.176,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0006,0.003,0.4,17.9
3/11/2025,7:43:16 PM,38.90556861,-92.26856728,221.1763,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0007,0.0031,0.6,18.9
3/11/2025,7:43:16 PM,38.90556847,-92.2685695,221.1714,1,12,0.0047,0.0042,0.0107,-0.0019,-0.0007,0.0031,0.8,19.9
3/11/2025,7:43:16 PM,38.90556807,-92.26857138,221.1804,1,12,0.0047,0.0042,0.0106,-0.0018,-0.0006,0.003,0,20.9
3/11/2025,7:43:16 PM,38.90556773,-92.26857335,221.1805,1,12,0.0047,0.0042,0.0106,-0.0018,-0.0006,0.003,0.2,21.9
3/11/2025,7:43:16 PM,38.90556763,-92.26857531,221.1747,1,12,0.0047,0.0042,0.0107,-0.0018,-0.0006,0.003,0.4,22.9
3/11/2025,7:43:17 PM,38.90556779,-92.26857724,221.1795,1,12,0.0047,0.0042,0.0107,-0.0019,-0.0006,0.0031,0.6,24
3/11/2025,7:43:17 PM,38.90556771,-92.26857911,221.1733,1,12,0.0047,0.0042,0.0107,-0.0019,-0.0007,0.0031,0.8,25
3/11/2025,7:43:17 PM,38.90556731,-92.26858099,221.1759,1,12,0.0047,0.0042,0.0106,-0.0018,-0.0006,0.003,0,26.1
3/11/2025,7:43:17 PM,38.90556708,-92.26858285,221.1755,1,12,0.0047,0.0042,0.0106,-0.0018,-0.0006,0.003,0.2,27.2
3/11/2025,7:43:17 PM,38.90556718,-92.26858454,221.1806,1,12,0.0047,0.0042,0.0107,-0.0019,-0.0006,0.0031,0.4,28.2
