Experiment,Date,Pre Post,Farm,Paddock,Strip,Weight in kg,Length in meters,Units
testbec,10/2/2024 18:21,Pre,28,3,7,2.55,5.23,Metric
testbec,10/2/2024 18:22,Pre,28,3,8,2.66,5.52,Metric
testbec,10/2/2024 18:24,Pre,28,3,9,2.73,5.52,Metric
testbec,10/2/2024 18:25,Pre,28,3,10,2.41,5.26,Metric
testbec,10/2/2024 18:26,Pre,28,4,1,3.11,5.08,Metric
testbec,10/2/2024 18:27,Pre,28,4,2,4.27,5.6,Metric
testbec,10/2/2024 18:29,Pre,28,4,3,2.48,4.89,Metric
testbec,10/2/2024 18:30,Pre,28,4,4,5.44,5.41,Metric
testbec,10/2/2024 18:31,Pre,28,4,5,3.08,5.41,Metric
testbec,10/2/2024 18:32,Pre,28,4,6,2.59,5.75,Metric
testbec,10/2/2024 18:34,Pre,28,4,7,3.13,5.52,Metric
testbec,10/2/2024 18:35,Pre,28,4,8,3.67,5.52,Metric
testbec,10/2/2024 18:36,Pre,28,4,9,2.48,5.6,Metric
testbec,10/2/2024 18:37,Pre,28,4,10,1.97,5.56,Metric
